268,"(54.5812886, -6.0289285)"
269,"(51.16559410000001, -1.4349149)"
270,"(50.18395049999999, -5.4216684)"
271,"(53.6106804, -2.604984)"
272,"(51.8458546, 0.09183809999999999)"
273,"(46.4932806, 4.3471623)"
274,"(52.9189123, -1.2079443)"
275,
276,"(54.6197092, -5.9149956)"
277,"(53.6764743, -1.4973771)"
278,"(48.2575848, 124.7792303)"
279,"(51.7529609, -3.282206)"
280,"(51.4968039, -0.1384018)"
281,"(48.2575848, 124.7792303)"
282,"(53.4626592, -2.2377585)"
283,"(50.8268975, -0.1610728)"
284,"(48.2575848, 124.7792303)"
285,"(53.6983015, -1.7034208)"
286,
287,"(48.2575848, 124.7792303)"
288,
289,"(48.2575848, 124.7792303)"
290,
291,"(51.495515, -3.5428705)"
292,"(52.48021809999999, -1.8299655)"
293,"(41.0466919, -97.3493962)"
294,"(53.3517147, -2.7654364)"
295,"(52.2083089, 0.1190101)"
296,"(52.9512203, -1.1368785)"
297,
298,"(55.862148, -4.2412735)"
299,"(51.5006606, 0.006701899999999999)"
300,"(51.49272999999999, -0.1259629)"
301,"(54.6119976, -5.9274179)"
302,"(51.5237575, -0.1082413)"
303,"(55.9444038, -3.1946758)"
304,"(48.2575848, 124.7792303)"
305,"(53.02693499999999, -2.2510976)"
306,
307,"(55.8679369, -3.1956028)"
308,"(51.5174603, -0.0732902)"
309,"(48.2575848, 124.7792303)"
310,"(48.2575848, 124.7792303)"
311,
312,"(48.2575848, 124.7792303)"
313,"(55.94759089999999, -3.2069439)"
314,"(51.5262859, -0.1364211)"
315,"(52.44897169999999, -1.9308602)"
316,"(54.9347735, -1.6115746)"
317,"(51.5199799, -0.10207)"
318,"(50.9378798, -1.4706249)"
319,"(56.3729907, -3.6036004)"
320,"(50.727622, -3.4756459)"
321,"(54.9698244, -1.6101432)"
322,"(51.4490254, -0.4450433)"
323,"(52.2213889, -0.2565986)"
324,"(52.235259, 0.1537001)"
325,"(52.3657542, 0.013142)"
326,"(52.5772649, -1.1802168)"
327,"(54.0509753, -2.8047823)"
328,"(51.5327407, -0.1222151)"
329,"(51.90076370000001, -2.0807477)"
330,"(53.38485069999999, -1.3481549)"
331,"(51.5893295, -3.0075851)"
332,"(55.9239873, -3.2095548)"
333,"(51.990151, -1.7014867)"
334,"(51.5468985, -0.1754432)"
335,"(51.5563288, -0.1127326)"
336,"(51.7093363, 0.5026374)"
337,"(50.9845675, -0.7408485)"
338,
339,"(49.8727041, 29.44447659999999)"
340,"(51.46151709999999, -0.9768975)"
341,"(58.98502440000001, -2.9487805)"
342,"(52.9127588, -0.6435921)"
343,"(52.3645272, -0.6956477)"
344,"(54.3525174, -2.939339)"
345,"(48.2575848, 124.7792303)"
346,
347,"(51.6661803, -0.3678068)"
348,"(53.3334851, -2.964984)"
349,"(51.4981327, -0.1326136)"
350,"(51.51930249999999, -0.07868979999999999)"
351,"(52.9883155, -1.8886531)"
352,"(53.4022267, -2.9778802)"
353,"(51.374972, -2.3501009)"
354,"(50.90460239999999, -0.3986365)"
355,"(52.0588992, 1.2790263)"
356,"(52.3943609, -1.8163785)"
357,"(52.95386449999999, -1.1407852)"
